著者名	論文名	雑誌名	ISSN	出版者名	出版日付	巻	号	ページ	URL	URL(DOI)
宮田 佳樹	天山・フェルガナの初期農耕牧畜民の考古学－キルギス、モル・ブラク遺跡およびウズベキスタン、ダルヴェルジン遺跡の発掘調査－	シルクロードを掘る－今蘇る、いにしえの道－資料集			2019	-		157-161	https://cir.nii.ac.jp/crid/1010848250426801937	
安木 新一郎	「中央アジア・ブハラで作られた漢字の刻印されたディルハム銅貨	京都経済短期大学論集			2019	26（3）		59-63	https://cir.nii.ac.jp/crid/1010848250427069189	
田村 亨 and 近藤 康久	ヨルダン南部Jebel Qalkha遺跡，ウズベキスタンAnghilak遺跡，カザフスタンKuzulaus 2 遺跡でのOSL年代の試料と予察結果	パレオアジア文化史学, 計画研究A03 平成30年度研究報告書 (PaleoAsia Project Serise)			2019	20		27-36	https://cir.nii.ac.jp/crid/1010848250434603011	
中山 紀子	イスラームに覆われた自然崇拝――ウズベキスタンの水源信仰に関する 2017 年度基礎調査	Afro-Eurasian Inner Dry Land Civilisations			2019	７		39-54	https://cir.nii.ac.jp/crid/1010848250494817806	
ダダバエフ ティムール	中央アジアにおけるソ連時代の記憶	野田仁、小松久男（著編）『近代中央ユーラシアの眺望』 山川出版社、			2019	1		305-315	https://cir.nii.ac.jp/crid/1010849930622681088	
和崎 聖日	第４章「旧ソ連ムスリムの結婚と離婚―ウズベキスタンの例」	長沢栄治監、森田豊子・小野仁美編『イスラーム・ジェンダー・スタディーズ１ 結婚と離婚』			2019	論集		83-107	https://cir.nii.ac.jp/crid/1011131405730430985	
青木 健	飛鳥・奈良と汎ユーラシアのイラン文化10：キルギス・セミレチエ（七河地方）におけるゾロアスター教・マニ教遺跡（前篇）	奈良県立大学ユーロナラジア			2019	14		42-51	https://cir.nii.ac.jp/crid/1011412880753976193	
国武 貞克 and 佐藤 宏之	タジキスタン南部ザラフシャン山脈南麓のフッジ遺跡発掘調査速報	第21回北アジア調査研究報告会			2019	21		9-12	https://cir.nii.ac.jp/crid/1011694355728301568	
森谷, 公俊	パキスタン北部とウズベキスタンにおけるアレクサンドロス遠征路の実地調査(二〇一八年)	帝京史学	0911-4645	帝京大学文学部史学科	2019-02-28	34		309-367	https://cir.nii.ac.jp/crid/1050845763825324160	
Nennstiel, Ulrike K. and 宮﨑, 理	労働搾取型人身取引の背景と現実 ： ウズベキスタンにおける調査を手がかりに	北星学園大学社会福祉学部北星論集 = Hokusei Review, the School of Social Welfare	1342-6958		2019-03	56		81-102	https://cir.nii.ac.jp/crid/1050282813221447168	
Dissyukov,Almas	Akerke Sultanova, Living in a Nuclear Test Site : The Present of Kazakhstan’s Semipalatinsk, Kadensha Publishing House, Tokyo: July 2018, 224 pages. (アケルケ・スルタノヴァ『核実験地に住む : カザフスタン・セミパラチンスクの現在』花伝社, 2018年） (書評)	広島平和研究 = Hiroshima peace research journal	2188-1480	広島市立大学広島平和研究所	2019-03-18	6		119-120	https://cir.nii.ac.jp/crid/1050566774703066240	
橋本, 卓	日本語教育ボランティアでの日本人大学生の気付き: ウズベキスタン・スタディツアーにおける経験の事例から	明星大学明星教育センター研究紀要 = Research bulletin of Meisei University Meisei kyoiku center	2186-2974	明星大学明星教育センター	2019-03-31	9		33-39	https://cir.nii.ac.jp/crid/1050001202873627264	
山口, 紀子 and YAMAGUCHI, Noriko	孤立環境キルギスにおける生涯学習としての日本語学習動機づけ研究 ―学習動機と継続意志に注目して―	人間文化創成科学論叢		お茶の水女子大学大学院人間文化創成科学研究科	2019-03-31	21		115-124	https://cir.nii.ac.jp/crid/1050282677925392512	
NISHIAKI, Yoshihiro and ARIPDJANOV, Otabek and SAYFULLAYEV, Baxtiyor and ENGESHED, Odil and GRODEEVA, Erena and NAKATA, Hiroto and ARAI, Saiji and NOGUCHI, Atsushi and SULEYMANOV, Rustam	PREHISTORIC CAVES AND ROCKSHELTERS IN THE MACHY VALLEY, SURKHANDARYA, SOUTH UZBEKISTAN (II)	ラーフィダーン = al-Rāfidān = JOURNAL OF WESTERN ASIATIC STUDIES	0285-4406	国士舘大学イラク古代文化研究所	2019-03-31	40		9-18	https://cir.nii.ac.jp/crid/1050845763785453696	
村上 智見 and 寺村 裕史 and 宇野 隆夫	シタデルを覆う火災層の調査―ウズベキスタン、カフィル・カラ遺跡の発掘調査（2019年）―	第27回西アジア発掘調査報告会報告集			2020	-		75-79	https://cir.nii.ac.jp/crid/1010005505868034560	
地田 徹朗	環境と地理からみる中央アジア地域研究のあり方	アジア経済			2020	61(3)		81-88	https://cir.nii.ac.jp/crid/1010009142287699971	
村知 稔三	カザフスタン子ども学研究序説(3)――子どもの権利条約に関する政府報告書と総括所見の関係――	ハルシオン			2020	第8号		21-42	https://cir.nii.ac.jp/crid/1010009142288482688	
小野 亮介	新疆軍事派遣団の活動に見る日本の中央アジアへの関心：諜報，経済，プロパガンダ（1918－1921年）	『ロシア・東欧研究』			2020	49			https://cir.nii.ac.jp/crid/1010009142304366336	
地田 徹朗	カザフスタン・小アラル海地域での牧畜の特性に関する萌芽的調査：遠隔村・アクバストゥ村を中心に	今村薫編『牧畜社会の動態』（中央アジア牧畜社会研究叢書1）名古屋学院大学総合研究所			2020	1		49-62	https://cir.nii.ac.jp/crid/1010009142348908288	
村知 稔三	カザフスタン子ども学研究序説(2)独立後のカザフスタン共和国の人口動態と子どもの権利(2)―乳幼児と保育をめぐる現状―乳幼児と保育をめぐる現状独立後のカザフスタン共和国の人口動態と子どもの権利(2)―乳幼児と保育をめぐる現状―	青山学院女子短期大学紀要			2020	74		19-43	https://cir.nii.ac.jp/crid/1010013168653742849	
村知 稔三	カザフスタン子ども学研究序説(3)ー子どもの権利条約に関する政府報告書と総括所見の関係独立後のカザフスタン共和国の人口動態と子どもの権利(2)―乳幼児と保育をめぐる現状―	世界子ども学研究会紀要ハルシオン			2020	8		11-32	https://cir.nii.ac.jp/crid/1010013168653742852	
ウミリデノブ アリシェル	ウズベキスタンにおける投資仲裁 : 天然資源投資をめぐる課税問題を素材に	名経法学			2020	44		1-43	https://cir.nii.ac.jp/crid/1010286980719600002	
岩野 雅子	研究ノート「教育言語の英語化という社会実験―カザフスタンに見る大学教育改革の課題」	インターカルチュラル			2020	18号		117-125	https://cir.nii.ac.jp/crid/1010286980808012417	
