Author	Title	Journal	ISSN	Publisher	Date	Volume	Number	Page	URL	URL(DOI)
SAWAI Mitsuo	中央アジア研究動向国際シンポジウム移動する中国ムスリム-ヒトと知識と経済を結ぶネットワーク	日本中央アジア学会報 No.4			2008			56-63	https://cir.nii.ac.jp/crid/1010282257460745222	
SAWAI Mitsuo	中央アジア研究動向 国際シンポジウム 移動する中国ムスリム	日本中央アジア学会報 4			2008			54-61	https://cir.nii.ac.jp/crid/1010282257460745239	
菊田 悠	2つの原理と7つの核:ソヴィエト時代を経たウズベキスタン・イスラームの構図と実態	ポスト社会主義における民族学的知識の位相と効用成果論文集 近刊(仮題)			2008				https://cir.nii.ac.jp/crid/1010282257462871172	
サルタナート, ツルスノワ	活動報告知識人と自由――キルギスにおける公共圏をめぐって	Asia Japan Journal		国士舘大学アジア・日本研究センター	2008	3			https://cir.nii.ac.jp/crid/1050001337713797504	
和崎, 聖日	人々はなぜ「乞食」に施しをするのか? : 体制転換後のウズベキスタンにおける物乞い‐施し交渉の分析	三田社会学	1349-1458	三田社会学会	2008	13		93-113	https://cir.nii.ac.jp/crid/1050845762331853568	
Fujimoto, Toko	Kazakh Memorial Services in the Post-Soviet Period : A Case Study of the Feast of Sacrifice in a Northern Kazakhstan Village	Slavic Studies	05626579	北海道大学スラブ研究センター	2008	55		1-28	https://cir.nii.ac.jp/crid/1050845763931234816	
鳥越, 隆士 and 堀谷, 留美	研究授業を通したウズベキスタン聾学校への教育開発支援の試み	学校教育学研究	0915-387X	兵庫教育大学学校教育研究センター	2008-03	20		59-66	https://cir.nii.ac.jp/crid/1050001335865853568	
相馬, 拓也	形象なき文化遺産としての狩猟技術 キルギス共和国イシク・クル湖岸における鷹狩猟のエスノグラフィ	国士舘大学地理学報告	0918-7081	国士舘大学地理学会	2008-03	16		99-106	https://cir.nii.ac.jp/crid/1050001337715560448	
矢元, 龍治 and 泉田, 洋一	カザフスタン共和国北部における小麦農家の総合生産性分析	農村研究	0388-8533	東京農業大学農業経済学会	2008-03		106	84-95	https://cir.nii.ac.jp/crid/1050845763629683200	
村山, 和之	研究プロジェクト 中央アジア諸民族の文化諸相に関する動態的研究 中央アジアからデリーは遠いか?--イスラームのインド的変容における一考察	東西南北 = Bulletin of the Wako Institute of Social and Cultural Sciences		和光大学総合文化研究所	2008-03-15	2008		204-233	https://cir.nii.ac.jp/crid/1050001338313758208	
島田, 志津夫	タジキスタンの光と陰	東西南北 = Bulletin of the Wako Institute of Social and Cultural Sciences		和光大学総合文化研究所	2008-03-15	2008		27-35	https://cir.nii.ac.jp/crid/1050564288266368256	
	古代中央アジア文化の起源	金沢大学考古学紀要	0919-2573	金沢大学文学部考古学講座	2008-03-26	29		54-57	https://cir.nii.ac.jp/crid/1050282810910425600	
DADABAEV, Timur	Water Management and Interstate Relations in Central Asia : Realities, Problems and Concerns	Area studies Tsukuba	09121412	筑波大学大学院地域研究研究科	2008-03-31	29		23-40	https://cir.nii.ac.jp/crid/1050282677530406016	
福島, 青史	日本の多言語状況と「複言語主義」 -来日ウズベキスタン人の多言語能力と使用領域調査から-	早稲田日本語教育学 = Waseda studies in Japanese language education	1882-3394	早稲田大学大学院日本語教育研究科	2008-05-19	2		29-44	https://cir.nii.ac.jp/crid/1050282677458903040	
佐々木, 利昌	ウズベキスタン・タジキスタン紀行 -「シルクロード」との出会い- 2007年8月7日～8月15日	研究紀要		大阪教育大学附属高等学校池田校舎	2008-10-20	41		1-28	https://cir.nii.ac.jp/crid/1050845762739208320	
HAGA Mitsuru	中央アジアの古代地中海文明と古代オリエント文明～ウズベキスタン共和国オクサス河畔ギリシア・クシャン系都市カンピール・テパの発掘現場から~	地中海学会月報 336号			2009			5	https://cir.nii.ac.jp/crid/1010000782029679873	
HAGA Mitsuru	中央アジアのギリシア系都市を掘る-ウズベキスタン共和国カンピール・テパ遺跡第3次発掘調査	考古学が語るオリエント-西アジア発掘調査報告会報告集 16			2009			125-130	https://cir.nii.ac.jp/crid/1010000782029680152	
HAGA Mitsuru	中央アジアのギリシア系都市を掘る-ウズベキスタン共和国カンピール・テパ	日本西アジア考古学会-古代オリエントの都市遺跡-日本調査隊の活躍- 1			2009			13-19	https://cir.nii.ac.jp/crid/1010000782029680153	
IJIRI Naohiko	中央アジアへの海外直接投資の立地要因分析	『紀要』日本大学経済学部経済科学研究所 第39号			2009			195-208	https://cir.nii.ac.jp/crid/1010000782029910842	
TAKATA Tokio	ロシアの中央アジア探險隊所獲品と日本學者	シルクロード 文字を辿って--ロシア探險隊の文物			2009			25-31	https://cir.nii.ac.jp/crid/1010000782068715173	
IWASHITA Akihiro	台頭中国と中央アジア-地域協力の制約要因	台頭中国の対外関係(中居良文編, 御茶の水書房)			2009			39-64	https://cir.nii.ac.jp/crid/1010000782442695169	
UYAMA Tomohiko	中央アジアとコーカサス:近くて遠い隣人?	多様性と可能性のコーカサス(前田弘毅編, 北海道大学出版会)			2009			31-58	https://cir.nii.ac.jp/crid/1010000782442695172	
UYAMA Tomohiko	中央アジアを理解するための6つの鍵	外交フォーラム			2009			38-41	https://cir.nii.ac.jp/crid/1010000782442695185	
UYAMA Tomohiko	中央アジアを理解するための6つの鍵	外交フォーラム 6月号			2009			38-41	https://cir.nii.ac.jp/crid/1010000782442695441	
IWASHITA Akihiro	台頭中国と中央アジア-地域協力の制約要因	中居良文編『台頭中国の対外関係』御茶の水書房			2009			39-64	https://cir.nii.ac.jp/crid/1010000782442695570	
UYAMA Tomohiko	中央アジアとコーカサス : 近くて遠い隣人?	前田弘毅編『多様性と可能性のコーカサス』北海道大学出版会			2009			31-58	https://cir.nii.ac.jp/crid/1010000782442695574	
